Date,Monmean,Monmax,Monrang,Time,Reef,Coral ID,Genotype,Salinity,Temp,Depth,P_rate,R_rate,Healthy (Y/N),Algae growth (%),Mortality (%),Healthy tissue (%), White (%),Total (%),Pale (%) living tissue,Blotchy (Y/N) ,Disease (Y/N),Tumor (Y/N),Fish Bites (#),Boring (Y/N)
05/30/21,25.81329167,,,4,Conch,A14,A,31,82.4,26.8,,,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
05/30/21,25.81329167,,,4,Conch,A3,A,31,82.4,26.8,,,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
05/30/21,25.81329167,,,4,Conch,A4,A,31,82.4,26.8,,,no,100,100,0,0,100,0,no,no,no,0,no
05/30/21,25.81329167,,,4,Conch,B13,B,31,82.4,26.8,,,yes,0,0,100,0,100,1,no,no,no,0,no
05/30/21,25.81329167,,,4,Conch,B14,B,31,82.4,26.8,,,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
05/30/21,25.81329167,,,4,Conch,B3,B,31,82.4,26.8,1302.45,343.17,no,100,100,0,0,100,0,no,no,no,0,no
05/30/21,25.81329167,,,4,Conch,B4,B,31,82.4,26.8,,,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
05/30/21,25.81329167,,,4,Conch,C13,C,31,82.4,26.8,,,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
05/30/21,25.81329167,,,4,Conch,C14,C,31,82.4,26.8,,,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
05/30/21,25.81329167,,,4,Conch,C3,C,31,82.4,26.8,,,no,100,100,0,0,100,0,no,no,no,0,no
05/30/21,25.81329167,,,4,Conch,C4,C,31,82.4,26.8,,,no,100,100,0,0,100,0,no,no,no,0,no
05/30/21,25.81329167,,,4,Conch,D13,D,31,82.4,26.8,,,no,100,100,0,0,100,0,no,no,no,0,no
05/30/21,25.81329167,,,4,Conch,D14,D,31,82.4,26.8,,,no,100,100,0,0,100,0,no,no,no,0,no
05/30/21,25.81329167,,,4,Conch,D3,D,31,82.4,26.8,,,no,100,100,0,0,100,0,no,no,no,0,no
05/30/21,25.81329167,,,4,Conch,D4,D,31,82.4,26.8,,,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
02/05/19,24.7,,3.68,0,Looe,A10,A,36.5,76.5,26,,,yes,0,0,100,0,100,0,no,no,no,0,no
02/05/19,24.7,,3.68,0,Looe,A7,A,36.5,76.5,26,879.3,-212.15,yes,0,0,100,0,100,0,no,no,no,0,no
02/05/19,24.7,,3.68,0,Looe,A8,A,36.5,76.5,26,1058.12,-239.71,yes,0,0,100,0,100,0,no,no,no,0,no
